id,grop_id
pat_001,1
pat_002,2
pat_003,3
pat_004,1
pat_005,2
pat_006,3
pat_007,1
pat_008,2
pat_009,3
pat_010,1
pat_011,2
pat_012,3
pat_013,1
pat_014,2
pat_015,3
pat_016,1
pat_017,2
pat_018,3
pat_019,1
pat_020,2
pat_021,3
pat_022,1
pat_023,2
pat_024,3
pat_025,1
pat_026,2
pat_027,3
pat_028,1
pat_029,2
pat_030,3
pat_031,1
pat_032,2
pat_033,3
pat_034,1
pat_035,2
pat_036,3
pat_037,1
pat_038,2
pat_039,3
pat_040,1
pat_041,2
pat_042,3
pat_043,1
pat_044,2
pat_045,3
pat_046,1
pat_047,2
pat_048,3
pat_049,1
pat_050,2
